Word,mean,count,std
build,0.0012511814640273349,2,0.00020915313573612179
value,0.0010861655128268399,2,0.0002540985506948792
place,0.000902378651171625,2,0.0
redemption,0.0008263081137787208,3,0.0004928677663349634
myth,0.0008112484422491774,2,0.00042219760807604625
as,0.0007577259014433154,4,7.941084888910646e-05
their,0.0005584147717927752,6,2.9589014494745594e-05
profound,0.0005469895909022854,2,0.00016383579896529375
human,0.0005448305849136227,3,0.0
our,0.0004649561508121563,3,0.0
an,0.0003519939657924782,2,0.00012068843728468335
labor,0.0002979403225835248,2,0.0
in,0.0002589291560597088,6,0.0004309774417286235
being,0.00024976840401687197,2,0.0
individual,0.00024508898289848425,2,6.153010277890937e-05
for,0.0002405594356503408,2,0.0
moral,0.00019498983709059377,2,0.0004080574872938413
love,0.0001793792827254689,3,0.0
be,0.00017936404658339762,3,0.00010795323726636975
we,0.0001348057952532735,4,0.0
this,5.102183857002684e-05,4,0.00030985092213217744
often,2.6350226927439042e-05,4,0.0004954483854145614
prove,1.46139294881859e-05,2,0.00027210435660112006
that,-3.84564880611982e-06,7,0.00019037538026049562
a,-4.5586198884037386e-05,21,0.000451138679003601
or,-6.961571806727677e-05,5,0.00020636651331051989
the,-0.0001181928671826497,42,0.0005579663784471726
world,-0.0001314860929495673,2,2.2162602799410535e-06
they,-0.00013617413162049432,6,0.0005444469336028451
successful,-0.00022311954894828356,2,7.282840194201209e-05
but,-0.0002455786344375494,4,0.000364565482617604
on,-0.00026603573134888095,2,3.9190353596629674e-05
every,-0.00028902202079885884,2,0.0
to,-0.00031769754437855057,17,0.0003879049997467678
it,-0.00033298649283344144,5,0.00035094623387769606
from,-0.00033320963527166676,3,0.000172747954339038
through,-0.00034805451490804143,2,0.00011688107778687709
and,-0.00036150119509607533,5,0.00044013042946530425
drive,-0.00036197201572768316,4,0.00032402245474934244
no,-0.0004169575915245639,2,0.0005253484289068655
is,-0.00043062673080233817,5,0.0002987879664848243
of,-0.00044596949691010703,25,0.0004936864751178772
not,-0.0004757019786814618,2,6.821365634713568e-05
has,-0.0005609445724761044,3,0.0006343190918013119
can,-0.0005743201158497481,2,0.0
who,-0.0005786171189127114,2,0.00025794248185437204
must,-0.001022287681494574,2,0.0
